,roi_name,x,y,w,h
0,right,29,168,1137,439
0,left,1255,180,1145,374
0,top,48,850,1491,662
0,back,1567,605,856,492
0,rear_right_down,51,319,237,175
0,rear_right_up,59,185,242,137
0,rr_window,291,193,242,134
0,fr_window,523,193,312,144
0,rr_door,291,329,268,212
0,fr_door,541,337,286,224
0,front_right,812,329,350,230
0,front_left,1252,311,346,248
0,fl_door,1595,340,276,221
0,fl_window,1600,182,281,171
0,rl_window,1881,190,243,137
0,rl_door,1866,324,278,224
0,rear_left_up,2077,170,292,167
0,rear_left_down,2131,314,235,188
0,top_up,283,979,639,389
0,front_window,891,889,266,585
0,capot,1152,886,381,585
0,back_window,1722,667,541,134
0,cofre,1711,801,575,224
0,left_back_panneau,1564,729,145,343
0,right_back_panneau,2284,677,136,408
